       , intro      , intro      , intro      , intro     
[0: 1] , intro      , intro      , intro      , intro     
       , intro      , intro      , intro      , intro     
[0: 2] , intro      , intro      , intro      , intro     
       , intro      , intro      , intro      , intro     
[0: 3] , intro      , intro      , intro      , intro     
       , intro      , intro      , intro      , intro     
[0: 4] , intro      , intro      , intro      , intro     
       , intro      , intro      , intro      , intro     
[0: 5] , intro      , intro      , intro      , intro     
       , intro      , intro      , intro      , intro     
[0: 6] , intro      , intro      , intro      , intro     
       , intro      , intro      , intro      , intro     
[0: 7] , intro      , intro      , intro      , intro     
       , intro      , intro      , intro      , intro     
[0: 8] , intro      , intro      , intro      , intro     
       , intro      , intro      , intro      , intro     
[0: 9] , intro      , intro      , intro      , intro     
       , intro      , intro      , intro      , intro     
[0:10] , intro      , intro      , intro      , intro     
       , intro      , intro      , intro      , intro     
[0:11] , intro      , intro      , intro      , intro     
[0:11] , ********** , ********** , ********** , **********
       , silence1   , silence1   , silence1   , silence1  
[0:12] , silence1   , silence1   , silence1   , silence1  
       , silence1   , silence1   , silence1   , silence1  
[0:13] , silence1   , silence1   , silence1   , silence1  
       , silence1   , silence1   , silence1   , silence1  
[0:14] , silence1   , silence1   , silence1   , silence1  
[0:14] , ********** , ********** , ********** , **********
       , inNose     , inNose     , inNose     , inNose    
[0:15] , inNose     , inNose     , inNose     , inNose    
       , inNose     , inNose     , inNose     , inNose    
[0:16] , inNose     , inNose     , inNose     , inNose    
       , inNose     , inNose     , inNose     , inNose    
[0:17] , inNose     , inNose     , inNose     , inNose    
       , outMouth   , outMouth   , outMouth   , outMouth  
[0:18] , outMouth   , outMouth   , outMouth   , outMouth  
       , outMouth   , outMouth   , outMouth   , outMouth  
[0:19] , outMouth   , outMouth   , outMouth   , outMouth  
       , outMouth   , outMouth   , outMouth   , outMouth  
[0:20] , outMouth   , outMouth   , outMouth   , outMouth  
       , silence1   , silence1   , silence1   , silence1  
[0:21] , silence1   , silence1   , silence1   , silence1  
       , inNose     , inNose     , inNose     , inNose    
[0:22] , inNose     , inNose     , inNose     , inNose    
       , inNose     , inNose     , inNose     , inNose    
[0:23] , inNose     , inNose     , inNose     , inNose    
       , inNose     , inNose     , inNose     , inNose    
[0:24] , inNose     , inNose     , inNose     , inNose    
       , outMouth   , outMouth   , outMouth   , outMouth  
[0:25] , outMouth   , outMouth   , outMouth   , outMouth  
       , outMouth   , outMouth   , outMouth   , outMouth  
[0:26] , outMouth   , outMouth   , outMouth   , outMouth  
       , outMouth   , outMouth   , outMouth   , outMouth  
[0:27] , outMouth   , outMouth   , outMouth   , outMouth  
       , silence1   , silence1   , silence1   , silence1  
[0:28] , silence1   , silence1   , silence1   , silence1  
       , inNose     , inNose     , inNose     , inNose    
[0:29] , inNose     , inNose     , inNose     , inNose    
       , inNose     , inNose     , inNose     , inNose    
[0:30] , inNose     , inNose     , inNose     , inNose    
       , inNose     , inNose     , inNose     , inNose    
[0:31] , inNose     , inNose     , inNose     , inNose    
       , outMouth   , outMouth   , outMouth   , outMouth  
[0:32] , outMouth   , outMouth   , outMouth   , outMouth  
       , outMouth   , outMouth   , outMouth   , outMouth  
[0:33] , outMouth   , outMouth   , outMouth   , outMouth  
       , outMouth   , outMouth   , outMouth   , outMouth  
[0:34] , outMouth   , outMouth   , outMouth   , outMouth  
       , silence1   , silence1   , silence1   , silence1  
[0:35] , silence1   , silence1   , silence1   , silence1  
       , inNose     , inNose     , inNose     , inNose    
[0:36] , inNose     , inNose     , inNose     , inNose    
       , inNose     , inNose     , inNose     , inNose    
[0:37] , inNose     , inNose     , inNose     , inNose    
       , inNose     , inNose     , inNose     , inNose    
[0:38] , inNose     , inNose     , inNose     , inNose    
       , outMouth   , outMouth   , outMouth   , outMouth  
[0:39] , outMouth   , outMouth   , outMouth   , outMouth  
       , outMouth   , outMouth   , outMouth   , outMouth  
[0:40] , outMouth   , outMouth   , outMouth   , outMouth  
       , outMouth   , outMouth   , outMouth   , outMouth  
[0:41] , outMouth   , outMouth   , outMouth   , outMouth  
       , silence1   , silence1   , silence1   , silence1  
[0:42] , silence1   , silence1   , silence1   , silence1  
[0:42] , ********** , ********** , ********** , **********
       , in         , inMouth    , inMouth    , in        
[0:43] , in         , inMouth    , inMouth    , in        
       , in         , inMouth    , inMouth    , in        
[0:44] , in         , inMouth    , inMouth    , in        
       , in         , inMouth    , inMouth    , in        
[0:45] , in         , inMouth    , inMouth    , in        
       , humHigh    , hold1      , hold1      , humHigh   
[0:46] , humHigh    , hold1      , hold1      , humHigh   
       , humHigh    , outNose    , outNose    , humHigh   
[0:47] , humHigh    , outNose    , outNose    , humHigh   
       , humHigh    , outNose    , outNose    , humHigh   
[0:48] , humHigh    , outNose    , outNose    , humHigh   
       , silence1   , outNose    , outNose    , silence1  
[0:49] , silence1   , outNose    , outNose    , silence1  
       , silence1   , in         , snapIntro  , silence1  
[0:50] , silence1   , in         , snapIntro  , silence1  
       , silence1   , in         , snapIntro  , silence1  
[0:51] , silence1   , in         , snapIntro  , silence1  
       , silence1   , in         , snapNow    , silence1  
[0:52] , silence1   , in         , snapNow    , silence1  
       , silence1   , humHigh    , snapNow    , silence1  
[0:53] , silence1   , humHigh    , snapNow    , silence1  
       , inMouth    , humHigh    , in         , snapIntro 
[0:54] , inMouth    , humHigh    , in         , snapIntro 
       , inMouth    , humHigh    , in         , snapIntro 
[0:55] , inMouth    , humHigh    , in         , snapIntro 
       , inMouth    , silence1   , in         , snapNow   
[0:56] , inMouth    , silence1   , in         , snapNow   
       , hold1      , silence1   , out        , snapNow   
[0:57] , hold1      , silence1   , out        , snapNow   
       , outNose    , silence1   , out        , inMouth   
[0:58] , outNose    , silence1   , out        , inMouth   
       , outNose    , silence1   , out        , inMouth   
[0:59] , outNose    , silence1   , out        , inMouth   
       , outNose    , silence1   , silence1   , inMouth   
[1: 0] , outNose    , silence1   , silence1   , inMouth   
       , inMouth    , inMouth    , in         , hold1     
[1: 1] , inMouth    , inMouth    , in         , hold1     
       , inMouth    , inMouth    , in         , outNose   
[1: 2] , inMouth    , inMouth    , in         , outNose   
       , inMouth    , inMouth    , in         , outNose   
[1: 3] , inMouth    , inMouth    , in         , outNose   
       , hold1      , hold1      , humHigh    , outNose   
[1: 4] , hold1      , hold1      , humHigh    , outNose   
       , outNose    , outNose    , humHigh    , in        
[1: 5] , outNose    , outNose    , humHigh    , in        
       , outNose    , outNose    , humHigh    , in        
[1: 6] , outNose    , outNose    , humHigh    , in        
       , outNose    , outNose    , silence1   , in        
[1: 7] , outNose    , outNose    , silence1   , in        
       , snapIntro  , in         , silence1   , out       
[1: 8] , snapIntro  , in         , silence1   , out       
       , snapIntro  , in         , silence1   , out       
[1: 9] , snapIntro  , in         , silence1   , out       
       , snapNow    , in         , silence1   , out       
[1:10] , snapNow    , in         , silence1   , out       
       , snapNow    , out        , silence1   , silence1  
[1:11] , snapNow    , out        , silence1   , silence1  
       , snapNow    , out        , in         , in        
[1:12] , snapNow    , out        , in         , in        
       , snapNow    , out        , in         , in        
[1:13] , snapNow    , out        , in         , in        
       , in         , silence1   , in         , in        
[1:14] , in         , silence1   , in         , in        
       , in         , in         , humLow     , humLow    
[1:15] , in         , in         , humLow     , humLow    
       , in         , in         , humLow     , humLow    
[1:16] , in         , in         , humLow     , humLow    
       , humLow     , in         , humLow     , humLow    
[1:17] , humLow     , in         , humLow     , humLow    
       , humLow     , humLow     , silence1   , silence1  
[1:18] , humLow     , humLow     , silence1   , silence1  
       , humLow     , humLow     , silence1   , silence1  
[1:19] , humLow     , humLow     , silence1   , silence1  
       , silence1   , humLow     , silence1   , silence1  
[1:20] , silence1   , humLow     , silence1   , silence1  
       , silence1   , silence1   , silence1   , silence1  
[1:21] , silence1   , silence1   , silence1   , silence1  
       , silence1   , silence1   , silence1   , silence1  
[1:22] , silence1   , silence1   , silence1   , silence1  
       , silence1   , silence1   , in         , snapNow   
[1:23] , silence1   , silence1   , in         , snapNow   
       , silence1   , silence1   , in         , snapNow   
[1:24] , silence1   , silence1   , in         , snapNow   
       , in         , silence1   , in         , inMouth   
[1:25] , in         , silence1   , in         , inMouth   
       , in         , in         , humHigh    , inMouth   
[1:26] , in         , in         , humHigh    , inMouth   
       , in         , in         , humHigh    , inMouth   
[1:27] , in         , in         , humHigh    , inMouth   
       , out        , in         , humHigh    , hold1     
[1:28] , out        , in         , humHigh    , hold1     
       , out        , out        , silence1   , outNose   
[1:29] , out        , out        , silence1   , outNose   
       , out        , out        , silence1   , outNose   
[1:30] , out        , out        , silence1   , outNose   
       , silence1   , out        , silence1   , outNose   
[1:31] , silence1   , out        , silence1   , outNose   
       , in         , silence1   , silence1   , in        
[1:32] , in         , silence1   , silence1   , in        
       , in         , in         , silence1   , in        
[1:33] , in         , in         , silence1   , in        
       , in         , in         , snapNow    , in        
[1:34] , in         , in         , snapNow    , in        
       , out        , in         , snapNow    , humLow    
[1:35] , out        , in         , snapNow    , humLow    
       , out        , humLow     , in         , humLow    
[1:36] , out        , humLow     , in         , humLow    
       , out        , humLow     , in         , humLow    
[1:37] , out        , humLow     , in         , humLow    
       , silence1   , humLow     , in         , silence1  
[1:38] , silence1   , humLow     , in         , silence1  
       , in         , silence1   , out        , silence1  
[1:39] , in         , silence1   , out        , silence1  
       , in         , silence1   , out        , silence1  
[1:40] , in         , silence1   , out        , silence1  
       , in         , silence1   , out        , silence1  
[1:41] , in         , silence1   , out        , silence1  
       , humHigh    , silence1   , silence1   , silence1  
[1:42] , humHigh    , silence1   , silence1   , silence1  
       , humHigh    , silence1   , snapNow    , in        
[1:43] , humHigh    , silence1   , snapNow    , in        
       , humHigh    , in         , snapNow    , in        
[1:44] , humHigh    , in         , snapNow    , in        
       , silence1   , in         , inMouth    , in        
[1:45] , silence1   , in         , inMouth    , in        
       , silence1   , in         , inMouth    , humHigh   
[1:46] , silence1   , in         , inMouth    , humHigh   
       , silence1   , humHigh    , inMouth    , humHigh   
[1:47] , silence1   , humHigh    , inMouth    , humHigh   
       , silence1   , humHigh    , hold1      , humHigh   
[1:48] , silence1   , humHigh    , hold1      , humHigh   
       , silence1   , humHigh    , outNose    , silence1  
[1:49] , silence1   , humHigh    , outNose    , silence1  
       , snapNow    , silence1   , outNose    , silence1  
[1:50] , snapNow    , silence1   , outNose    , silence1  
       , snapNow    , silence1   , outNose    , silence1  
[1:51] , snapNow    , silence1   , outNose    , silence1  
       , in         , silence1   , in         , silence1  
[1:52] , in         , silence1   , in         , silence1  
       , in         , silence1   , in         , silence1  
[1:53] , in         , silence1   , in         , silence1  
       , in         , silence1   , in         , snapNow   
[1:54] , in         , silence1   , in         , snapNow   
       , humLow     , snapIntro  , humLow     , snapNow   
[1:55] , humLow     , snapIntro  , humLow     , snapNow   
       , humLow     , snapIntro  , humLow     , in        
[1:56] , humLow     , snapIntro  , humLow     , in        
       , humLow     , snapNow    , humLow     , in        
[1:57] , humLow     , snapNow    , humLow     , in        
       , silence1   , snapNow    , silence1   , in        
[1:58] , silence1   , snapNow    , silence1   , in        
       , silence1   , snapNow    , silence1   , out       
[1:59] , silence1   , snapNow    , silence1   , out       
       , silence1   , snapNow    , silence1   , out       
[2: 0] , silence1   , snapNow    , silence1   , out       
       , silence1   , snapNow    , silence1   , out       
[2: 1] , silence1   , snapNow    , silence1   , out       
       , silence1   , snapNow    , silence1   , silence1  
[2: 2] , silence1   , snapNow    , silence1   , silence1  
[2: 2] , ********** , ********** , ********** , **********
       , in         , in         , in         , in        
[2: 3] , in         , in         , in         , in        
       , in         , in         , in         , in        
[2: 4] , in         , in         , in         , in        
       , in         , in         , in         , in        
[2: 5] , in         , in         , in         , in        
       , out        , hold1      , out        , out       
[2: 6] , out        , hold1      , out        , out       
       , out        , out        , out        , out       
[2: 7] , out        , out        , out        , out       
       , out        , out        , out        , out       
[2: 8] , out        , out        , out        , out       
       , silence1   , out        , silence1   , silence1  
[2: 9] , silence1   , out        , silence1   , silence1  
       , in         , in         , in         , in        
[2:10] , in         , in         , in         , in        
       , in         , in         , in         , in        
[2:11] , in         , in         , in         , in        
       , in         , in         , in         , in        
[2:12] , in         , in         , in         , in        
       , out        , hold1      , out        , out       
[2:13] , out        , hold1      , out        , out       
       , out        , out        , out        , out       
[2:14] , out        , out        , out        , out       
       , out        , out        , out        , out       
[2:15] , out        , out        , out        , out       
       , silence1   , out        , silence1   , silence1  
[2:16] , silence1   , out        , silence1   , silence1  
       , in         , in         , in         , in        
[2:17] , in         , in         , in         , in        
       , in         , in         , in         , in        
[2:18] , in         , in         , in         , in        
       , in         , in         , in         , in        
[2:19] , in         , in         , in         , in        
       , out        , out        , out        , out       
[2:20] , out        , out        , out        , out       
       , out        , out        , out        , out       
[2:21] , out        , out        , out        , out       
       , out        , out        , out        , out       
[2:22] , out        , out        , out        , out       
       , silence1   , silence1   , silence1   , silence1  
[2:23] , silence1   , silence1   , silence1   , silence1  
       , silence1   , silence1   , silence1   , silence1  
[2:24] , silence1   , silence1   , silence1   , silence1  
       , silence1   , silence1   , silence1   , silence1  
[2:25] , silence1   , silence1   , silence1   , silence1  
       , in         , in         , in         , in        
[2:26] , in         , in         , in         , in        
       , in         , in         , in         , in        
[2:27] , in         , in         , in         , in        
       , in         , in         , in         , in        
[2:28] , in         , in         , in         , in        
       , out        , hold1      , out        , out       
[2:29] , out        , hold1      , out        , out       
       , out        , out        , out        , out       
[2:30] , out        , out        , out        , out       
       , out        , out        , out        , out       
[2:31] , out        , out        , out        , out       
       , silence1   , out        , silence1   , silence1  
[2:32] , silence1   , out        , silence1   , silence1  
       , in         , in         , in         , in        
[2:33] , in         , in         , in         , in        
       , in         , in         , in         , in        
[2:34] , in         , in         , in         , in        
       , in         , in         , in         , in        
[2:35] , in         , in         , in         , in        
       , out        , hold1      , out        , out       
[2:36] , out        , hold1      , out        , out       
       , out        , out        , out        , out       
[2:37] , out        , out        , out        , out       
       , out        , out        , out        , out       
[2:38] , out        , out        , out        , out       
       , silence1   , out        , silence1   , silence1  
[2:39] , silence1   , out        , silence1   , silence1  
       , in         , in         , in         , in        
[2:40] , in         , in         , in         , in        
       , in         , in         , in         , in        
[2:41] , in         , in         , in         , in        
       , in         , in         , in         , in        
[2:42] , in         , in         , in         , in        
       , out        , out        , out        , out       
[2:43] , out        , out        , out        , out       
       , out        , out        , out        , out       
[2:44] , out        , out        , out        , out       
       , out        , out        , out        , out       
[2:45] , out        , out        , out        , out       
       , silence1   , silence1   , silence1   , silence1  
[2:46] , silence1   , silence1   , silence1   , silence1  
       , silence1   , silence1   , silence1   , silence1  
[2:47] , silence1   , silence1   , silence1   , silence1  
       , silence1   , silence1   , silence1   , silence1  
[2:48] , silence1   , silence1   , silence1   , silence1  
[2:48] , ********** , ********** , ********** , **********
       , in         , in         , in         , in        
[2:49] , in         , in         , in         , in        
       , in         , in         , in         , in        
[2:50] , in         , in         , in         , in        
       , in         , in         , in         , in        
[2:51] , in         , in         , in         , in        
       , out        , out        , singLow    , out       
[2:52] , out        , out        , singLow    , out       
       , out        , out        , singLow    , out       
[2:53] , out        , out        , singLow    , out       
       , out        , out        , singLow    , out       
[2:54] , out        , out        , singLow    , out       
       , silence5   , silence1   , silence1   , silence5  
[2:55] , in         , silence1   , silence1   , in        
       , in         , in         , silence1   , in        
[2:56] , in         , in         , silence1   , in        
       , in         , in         , silence1   , in        
[2:57] , in         , in         , silence1   , in        
       , in         , in         , silence1   , in        
[2:58] , out        , in         , silence1   , out       
       , out        , out        , silence1   , out       
[2:59] , out        , out        , silence1   , out       
       , out        , out        , in         , out       
[3: 0] , out        , out        , in         , out       
       , out        , out        , in         , out       
[3: 1] , silence5   , out        , in         , silence5  
       , in         , silence1   , in         , in        
[3: 2] , in         , silence1   , in         , in        
       , in         , in         , out        , in        
[3: 3] , in         , in         , out        , in        
       , in         , in         , out        , in        
[3: 4] , in         , in         , out        , in        
       , out        , in         , out        , out       
[3: 5] , out        , in         , out        , out       
       , out        , out        , silence1   , out       
[3: 6] , out        , out        , silence1   , out       
       , out        , out        , in         , out       
[3: 7] , out        , out        , in         , out       
       , silence5   , out        , in         , silence5  
[3: 8] , in         , out        , in         , in        
       , in         , silence1   , in         , in        
[3: 9] , in         , silence1   , in         , in        
       , in         , in         , singHigh   , in        
[3:10] , in         , in         , singHigh   , in        
       , in         , in         , singHigh   , in        
[3:11] , out        , in         , singHigh   , out       
       , out        , in         , singHigh   , out       
[3:12] , out        , in         , singHigh   , out       
       , out        , out        , silence1   , out       
[3:13] , out        , out        , silence1   , out       
       , out        , out        , silence1   , out       
[3:14] , silence5   , out        , silence1   , silence5  
       , in         , out        , silence1   , in        
[3:15] , in         , out        , silence1   , in        
       , in         , silence1   , silence1   , in        
[3:16] , in         , silence1   , silence1   , in        
       , in         , in         , silence1   , in        
[3:17] , in         , in         , silence1   , in        
       , out        , in         , in         , out       
[3:18] , out        , in         , in         , out       
       , out        , in         , in         , out       
[3:19] , out        , in         , in         , out       
       , out        , out        , in         , out       
[3:20] , out        , out        , in         , out       
       , silence5   , out        , out        , silence5  
[3:21] , in         , out        , out        , in        
       , in         , out        , out        , in        
[3:22] , in         , out        , out        , in        
       , in         , silence1   , out        , in        
[3:23] , in         , silence1   , out        , in        
       , in         , in         , in         , in        
[3:24] , out        , in         , in         , out       
       , out        , in         , in         , out       
[3:25] , out        , in         , in         , out       
       , out        , in         , in         , out       
[3:26] , out        , in         , in         , out       
       , out        , out        , out        , out       
[3:27] , silence5   , out        , out        , silence5  
       , in         , out        , out        , in        
[3:28] , in         , out        , out        , in        
       , in         , out        , out        , in        
[3:29] , in         , out        , out        , in        
       , in         , silence1   , in         , in        
[3:30] , in         , silence1   , in         , in        
       , out        , in         , in         , out       
[3:31] , out        , in         , in         , out       
       , out        , in         , in         , out       
[3:32] , out        , in         , in         , out       
       , out        , in         , out        , out       
[3:33] , out        , in         , out        , out       
       , silence5   , out        , out        , silence5  
[3:34] , in         , out        , out        , in        
       , in         , out        , out        , in        
[3:35] , in         , out        , out        , in        
       , in         , out        , silence1   , in        
[3:36] , in         , out        , silence1   , in        
       , in         , silence1   , in         , in        
[3:37] , out        , silence1   , in         , out       
       , out        , in         , in         , out       
[3:38] , out        , in         , in         , out       
       , out        , in         , in         , out       
[3:39] , out        , in         , in         , out       
       , out        , in         , out        , out       
[3:40] , silence5   , in         , out        , silence5  
       , in         , out        , out        , in        
[3:41] , in         , out        , out        , in        
       , in         , out        , out        , in        
[3:42] , in         , out        , out        , in        
       , in         , out        , silence1   , in        
[3:43] , in         , out        , silence1   , in        
       , out        , silence1   , in         , out       
[3:44] , out        , silence1   , in         , out       
       , out        , in         , in         , out       
[3:45] , out        , in         , in         , out       
       , out        , in         , in         , out       
[3:46] , out        , in         , in         , out       
       , silence5   , in         , out        , silence5  
[3:47] , in         , in         , out        , in        
       , in         , out        , out        , in        
[3:48] , in         , out        , out        , in        
       , in         , out        , out        , in        
[3:49] , in         , out        , out        , in        
       , in         , out        , silence1   , in        
[3:50] , out        , out        , silence1   , out       
       , out        , silence1   , in         , out       
[3:51] , out        , silence1   , in         , out       
       , out        , in         , in         , out       
[3:52] , out        , in         , in         , out       
       , out        , in         , in         , out       
[3:53] , silence5   , in         , in         , silence5  
       , in         , in         , out        , in        
[3:54] , in         , in         , out        , in        
       , in         , out        , out        , in        
[3:55] , in         , out        , out        , in        
       , in         , out        , out        , in        
[3:56] , in         , out        , out        , in        
       , out        , out        , silence1   , out       
[3:57] , out        , out        , silence1   , out       
       , out        , silence1   , in         , out       
[3:58] , out        , silence1   , in         , out       
       , out        , in         , in         , out       
[3:59] , out        , in         , in         , out       
       , silence5   , in         , in         , silence5  
[4: 0] , in         , in         , in         , in        
       , in         , in         , out        , in        
[4: 1] , in         , in         , out        , in        
       , in         , out        , out        , in        
[4: 2] , in         , out        , out        , in        
       , in         , out        , out        , in        
[4: 3] , out        , out        , out        , out       
       , out        , out        , in         , out       
[4: 4] , out        , out        , in         , out       
       , out        , silence1   , in         , out       
[4: 5] , out        , silence1   , in         , out       
       , out        , in         , in         , out       
[4: 6] , silence5   , in         , in         , silence5  
       , in         , in         , out        , in        
[4: 7] , in         , in         , out        , in        
       , in         , in         , out        , in        
[4: 8] , in         , in         , out        , in        
       , in         , out        , out        , in        
[4: 9] , in         , out        , out        , in        
       , out        , out        , silence1   , out       
[4:10] , out        , out        , silence1   , out       
       , out        , out        , in         , out       
[4:11] , out        , out        , in         , out       
       , out        , silence1   , in         , out       
[4:12] , out        , silence1   , in         , out       
       , silence5   , in         , in         , silence5  
[4:13] , in         , in         , in         , in        
       , in         , in         , out        , in        
[4:14] , in         , in         , out        , in        
       , in         , in         , out        , in        
