       , intro      , intro      , intro     
[0: 1] , intro      , intro      , intro     
       , intro      , intro      , intro     
[0: 2] , intro      , intro      , intro     
       , intro      , intro      , intro     
[0: 3] , intro      , intro      , intro     
       , intro      , intro      , intro     
[0: 4] , intro      , intro      , intro     
       , intro      , intro      , intro     
[0: 5] , intro      , intro      , intro     
       , intro      , intro      , intro     
[0: 6] , intro      , intro      , intro     
       , intro      , intro      , intro     
[0: 7] , intro      , intro      , intro     
       , intro      , intro      , intro     
[0: 8] , intro      , intro      , intro     
       , intro      , intro      , intro     
[0: 9] , intro      , intro      , intro     
       , intro      , intro      , intro     
[0:10] , intro      , intro      , intro     
       , intro      , intro      , intro     
[0:11] , intro      , intro      , intro     
[0:11] , ********** , ********** , **********
       , silence1   , silence1   , silence1  
[0:12] , silence1   , silence1   , silence1  
       , silence1   , silence1   , silence1  
[0:13] , silence1   , silence1   , silence1  
[0:13] , ********** , ********** , **********
       , inNose     , inNose     , inNose    
[0:14] , inNose     , inNose     , inNose    
       , inNose     , inNose     , inNose    
[0:15] , inNose     , inNose     , inNose    
       , inNose     , inNose     , inNose    
[0:16] , inNose     , inNose     , inNose    
       , outMouth   , outMouth   , outMouth  
[0:17] , outMouth   , outMouth   , outMouth  
       , outMouth   , outMouth   , outMouth  
[0:18] , outMouth   , outMouth   , outMouth  
       , outMouth   , outMouth   , outMouth  
[0:19] , outMouth   , outMouth   , outMouth  
       , inNose     , inNose     , inNose    
[0:20] , inNose     , inNose     , inNose    
       , inNose     , inNose     , inNose    
[0:21] , inNose     , inNose     , inNose    
       , inNose     , inNose     , inNose    
[0:22] , inNose     , inNose     , inNose    
       , outMouth   , outMouth   , outMouth  
[0:23] , outMouth   , outMouth   , outMouth  
       , outMouth   , outMouth   , outMouth  
[0:24] , outMouth   , outMouth   , outMouth  
       , outMouth   , outMouth   , outMouth  
[0:25] , outMouth   , outMouth   , outMouth  
       , inNose     , inNose     , inNose    
[0:26] , inNose     , inNose     , inNose    
       , inNose     , inNose     , inNose    
[0:27] , inNose     , inNose     , inNose    
       , inNose     , inNose     , inNose    
[0:28] , inNose     , inNose     , inNose    
       , outMouth   , outMouth   , outMouth  
[0:29] , outMouth   , outMouth   , outMouth  
       , outMouth   , outMouth   , outMouth  
[0:30] , outMouth   , outMouth   , outMouth  
       , outMouth   , outMouth   , outMouth  
[0:31] , outMouth   , outMouth   , outMouth  
       , inNose     , inNose     , inNose    
[0:32] , inNose     , inNose     , inNose    
       , inNose     , inNose     , inNose    
[0:33] , inNose     , inNose     , inNose    
       , inNose     , inNose     , inNose    
[0:34] , inNose     , inNose     , inNose    
       , outMouth   , outMouth   , outMouth  
[0:35] , outMouth   , outMouth   , outMouth  
       , outMouth   , outMouth   , outMouth  
[0:36] , outMouth   , outMouth   , outMouth  
       , outMouth   , outMouth   , outMouth  
[0:37] , outMouth   , outMouth   , outMouth  
       , inNose     , inMouth    , inNose    
[0:38] , inNose     , inMouth    , inNose    
       , inNose     , inMouth    , inNose    
[0:39] , inNose     , inMouth    , inNose    
       , inNose     , inMouth    , inNose    
[0:40] , inNose     , inMouth    , inNose    
       , outMouth   , outMouth   , outMouth  
[0:41] , outMouth   , outMouth   , outMouth  
       , outMouth   , outMouth   , outMouth  
[0:42] , outMouth   , outMouth   , outMouth  
       , outMouth   , outMouth   , outMouth  
[0:43] , outMouth   , outMouth   , outMouth  
       , inMouth    , jchill     , inNose    
[0:44] , inMouth    , jchill     , inNose    
       , inMouth    , jchill     , inNose    
[0:45] , inMouth    , jchill     , inNose    
       , inMouth    , jchill     , inNose    
[0:46] , inMouth    , jchill     , inNose    
       , outMouth   , jchill     , outMouth  
[0:47] , outMouth   , jchill     , outMouth  
       , outMouth   , silence1   , outMouth  
[0:48] , outMouth   , silence1   , outMouth  
       , outMouth   , silence1   , outMouth  
[0:49] , outMouth   , silence1   , outMouth  
       , jchill     , silence1   , inNose    
[0:50] , jchill     , silence1   , inNose    
       , jchill     , silence1   , inNose    
[0:51] , jchill     , silence1   , inNose    
       , jchill     , silence1   , inNose    
[0:52] , jchill     , silence1   , inNose    
       , jchill     , silence1   , outMouth  
[0:53] , jchill     , silence1   , outMouth  
       , silence1   , silence1   , outMouth  
[0:54] , silence1   , silence1   , outMouth  
       , silence1   , silence1   , outMouth  
[0:55] , silence1   , silence1   , outMouth  
[0:55] , ********** , ********** , **********
       , in         , in         , in        
[0:56] , in         , in         , in        
       , in         , in         , in        
[0:57] , in         , in         , in        
       , in         , in         , in        
[0:58] , in         , in         , in        
       , out        , out        , out       
[0:59] , out        , out        , out       
       , out        , out        , out       
[1: 0] , out        , out        , out       
       , out        , out        , out       
[1: 1] , out        , out        , out       
       , silence1   , silence5   , silence1  
[1: 2] , silence1   , in         , silence1  
       , in         , in         , in        
[1: 3] , in         , in         , in        
       , in         , in         , in        
[1: 4] , in         , in         , in        
       , in         , in         , in        
[1: 5] , in         , out        , in        
       , out        , out        , out       
[1: 6] , out        , out        , out       
       , out        , out        , out       
[1: 7] , out        , out        , out       
       , out        , out        , out       
[1: 8] , out        , silence5   , out       
       , silence1   , in         , silence1  
[1: 9] , silence1   , in         , silence1  
       , in         , in         , in        
[1:10] , in         , in         , in        
       , in         , in         , in        
[1:11] , in         , in         , in        
       , in         , out        , in        
[1:12] , in         , out        , in        
       , out        , out        , humLow    
[1:13] , out        , out        , humLow    
       , out        , out        , humLow    
[1:14] , out        , out        , humLow    
       , out        , silence5   , humLow    
[1:15] , out        , in         , humLow    
       , silence1   , in         , silence1  
[1:16] , silence1   , in         , silence1  
       , in         , in         , silence1  
[1:17] , in         , in         , silence1  
