       , intro      , intro      , intro     
[0: 1] , intro      , intro      , intro     
       , intro      , intro      , intro     
[0: 2] , intro      , intro      , intro     
       , intro      , intro      , intro     
[0: 3] , intro      , intro      , intro     
       , intro      , intro      , intro     
[0: 4] , intro      , intro      , intro     
       , intro      , intro      , intro     
[0: 5] , intro      , intro      , intro     
       , intro      , intro      , intro     
[0: 6] , intro      , intro      , intro     
       , intro      , intro      , intro     
[0: 7] , intro      , intro      , intro     
       , intro      , intro      , intro     
[0: 8] , intro      , intro      , intro     
       , intro      , intro      , intro     
[0: 9] , intro      , intro      , intro     
       , intro      , intro      , intro     
[0:10] , intro      , intro      , intro     
       , intro      , intro      , intro     
[0:11] , intro      , intro      , intro     
[0:11] , ********** , ********** , **********
       , silence1   , silence1   , silence1  
[0:12] , silence1   , silence1   , silence1  
       , silence1   , silence1   , silence1  
[0:13] , silence1   , silence1   , silence1  
       , silence1   , silence1   , silence1  
[0:14] , silence1   , silence1   , silence1  
       , silence1   , silence1   , silence1  
[0:15] , silence1   , silence1   , silence1  
[0:15] , ********** , ********** , **********
       , inNose     , inNose     , inNose    
[0:16] , inNose     , inNose     , inNose    
       , inNose     , inNose     , inNose    
[0:17] , inNose     , inNose     , inNose    
       , inNose     , inNose     , inNose    
[0:18] , inNose     , inNose     , inNose    
       , outMouth   , outMouth   , outMouth  
[0:19] , outMouth   , outMouth   , outMouth  
       , outMouth   , outMouth   , outMouth  
[0:20] , outMouth   , outMouth   , outMouth  
       , outMouth   , outMouth   , outMouth  
[0:21] , outMouth   , outMouth   , outMouth  
       , silence1   , silence1   , silence1  
[0:22] , silence1   , silence1   , silence1  
       , inNose     , inNose     , inNose    
[0:23] , inNose     , inNose     , inNose    
       , inNose     , inNose     , inNose    
[0:24] , inNose     , inNose     , inNose    
       , inNose     , inNose     , inNose    
[0:25] , inNose     , inNose     , inNose    
       , outMouth   , outMouth   , outMouth  
[0:26] , outMouth   , outMouth   , outMouth  
       , outMouth   , outMouth   , outMouth  
[0:27] , outMouth   , outMouth   , outMouth  
       , outMouth   , outMouth   , outMouth  
[0:28] , outMouth   , outMouth   , outMouth  
       , silence1   , silence1   , silence1  
[0:29] , silence1   , silence1   , silence1  
       , inNose     , inNose     , inNose    
[0:30] , inNose     , inNose     , inNose    
       , inNose     , inNose     , inNose    
[0:31] , inNose     , inNose     , inNose    
       , inNose     , inNose     , inNose    
[0:32] , inNose     , inNose     , inNose    
       , outMouth   , outMouth   , outMouth  
[0:33] , outMouth   , outMouth   , outMouth  
       , outMouth   , outMouth   , outMouth  
[0:34] , outMouth   , outMouth   , outMouth  
       , outMouth   , outMouth   , outMouth  
[0:35] , outMouth   , outMouth   , outMouth  
       , silence1   , silence1   , silence1  
[0:36] , silence1   , silence1   , silence1  
       , inNose     , inNose     , inNose    
[0:37] , inNose     , inNose     , inNose    
       , inNose     , inNose     , inNose    
[0:38] , inNose     , inNose     , inNose    
       , inNose     , inNose     , inNose    
[0:39] , inNose     , inNose     , inNose    
       , outMouth   , outMouth   , outMouth  
[0:40] , outMouth   , outMouth   , outMouth  
       , outMouth   , outMouth   , outMouth  
[0:41] , outMouth   , outMouth   , outMouth  
       , outMouth   , outMouth   , outMouth  
[0:42] , outMouth   , outMouth   , outMouth  
       , silence1   , silence1   , silence1  
[0:43] , silence1   , silence1   , silence1  
       , inNose     , inNose     , inNose    
[0:44] , inNose     , inNose     , inNose    
       , inNose     , inNose     , inNose    
[0:45] , inNose     , inNose     , inNose    
       , inNose     , inNose     , inNose    
[0:46] , inNose     , inNose     , inNose    
       , outMouth   , outMouth   , outMouth  
[0:47] , outMouth   , outMouth   , outMouth  
       , outMouth   , outMouth   , outMouth  
[0:48] , outMouth   , outMouth   , outMouth  
       , outMouth   , outMouth   , outMouth  
[0:49] , outMouth   , outMouth   , outMouth  
       , silence1   , silence1   , silence1  
[0:50] , silence1   , silence1   , silence1  
       , inNose     , inNose     , inNose    
[0:51] , inNose     , inNose     , inNose    
       , inNose     , inNose     , inNose    
[0:52] , inNose     , inNose     , inNose    
       , inNose     , inNose     , inNose    
[0:53] , inNose     , inNose     , inNose    
       , outMouth   , outMouth   , outMouth  
[0:54] , outMouth   , outMouth   , outMouth  
       , outMouth   , outMouth   , outMouth  
[0:55] , outMouth   , outMouth   , outMouth  
       , outMouth   , outMouth   , outMouth  
[0:56] , outMouth   , outMouth   , outMouth  
       , silence1   , silence1   , silence1  
[0:57] , silence1   , silence1   , silence1  
       , inNose     , inNose     , inNose    
[0:58] , inNose     , inNose     , inNose    
       , inNose     , inNose     , inNose    
[0:59] , inNose     , inNose     , inNose    
       , inNose     , inNose     , inNose    
[1: 0] , inNose     , inNose     , inNose    
       , outMouth   , outMouth   , outMouth  
[1: 1] , outMouth   , outMouth   , outMouth  
       , outMouth   , outMouth   , outMouth  
[1: 2] , outMouth   , outMouth   , outMouth  
       , outMouth   , outMouth   , outMouth  
[1: 3] , outMouth   , outMouth   , outMouth  
       , silence1   , silence1   , silence1  
[1: 4] , silence1   , silence1   , silence1  
[1: 4] , ********** , ********** , **********
       , silence1   , in         , silence1  
[1: 5] , silence1   , in         , silence1  
       , in         , in         , silence1  
[1: 6] , in         , in         , silence1  
       , in         , in         , in        
[1: 7] , in         , in         , in        
       , in         , singLow    , in        
[1: 8] , in         , singLow    , in        
       , humHigh    , singLow    , in        
[1: 9] , humHigh    , singLow    , in        
       , humHigh    , singLow    , out       
[1:10] , humHigh    , singLow    , out       
       , humHigh    , silence1   , out       
[1:11] , humHigh    , silence1   , out       
       , silence1   , silence1   , out       
[1:12] , silence1   , silence1   , out       
       , silence1   , silence1   , silence1  
